model,dataset,backend,ASR(JSR),指标2(JNR),n_clean_answered,n_jammed,retrieval_final_rate,early_stop_mean,clean_path,attack_path
Llama-2-7b-chat-hf,nq,mem0,1.0,1.0,84,84,0.84,5.38,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/mem0/clean/seed_0/clean_results_k5_nq100_oracle_llm_gpt-4o-mini.pkl,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/mem0/attack/seed_0/results_k5_nt50_i150_es40_bs16_init_mask_res_tar_t1_nq100_oracle_llm_gpt-4o-mini.pkl
Llama-2-7b-chat-hf,nq,memoryos,0.0,0.0,84,0,0.0,33.6,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/memoryos/clean/seed_0/clean_results_k5_nq100_oracle_llm_gpt-4o-mini.pkl,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/memoryos/attack/seed_0/results_k5_nt50_i150_es40_bs16_init_mask_res_tar_t1_nq100_oracle_llm_gpt-4o-mini.pkl
Llama-2-7b-chat-hf,nq,a-mem,1.0,1.0,84,84,0.84,5.38,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/a-mem/clean/seed_0/clean_results_k5_nq100_oracle_llm_gpt-4o-mini.pkl,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/a-mem/attack/seed_0/results_k5_nt50_i150_es40_bs16_init_mask_res_tar_t1_nq100_oracle_llm_gpt-4o-mini.pkl
Llama-2-7b-chat-hf,nq,memos,1.0,1.0,84,84,0.84,5.38,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/memos/clean/seed_0/clean_results_k5_nq100_oracle_llm_gpt-4o-mini.pkl,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/nq/memos/attack/seed_0/results_k5_nt50_i150_es40_bs16_init_mask_res_tar_t1_nq100_oracle_llm_gpt-4o-mini.pkl
Llama-2-7b-chat-hf,msmarco,mem0,0.978021978021978,0.978021978021978,91,89,0.91,4.49,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/msmarco/mem0/clean/seed_0/clean_results_k5_nq100_oracle_llm_gpt-4o-mini.pkl,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/msmarco/mem0/attack/seed_0/results_k5_nt50_i150_es40_bs16_init_mask_res_tar_t1_nq100_oracle_llm_gpt-4o-mini.pkl
Llama-2-7b-chat-hf,msmarco,a-mem,0.978021978021978,0.978021978021978,91,89,0.91,4.49,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/msmarco/a-mem/clean/seed_0/clean_results_k5_nq100_oracle_llm_gpt-4o-mini.pkl,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/msmarco/a-mem/attack/seed_0/results_k5_nt50_i150_es40_bs16_init_mask_res_tar_t1_nq100_oracle_llm_gpt-4o-mini.pkl
Llama-2-7b-chat-hf,msmarco,memos,0.978021978021978,0.978021978021978,91,89,0.91,4.49,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/msmarco/memos/clean/seed_0/clean_results_k5_nq100_oracle_llm_gpt-4o-mini.pkl,./store/results/rag_gtr-base_x_Llama-2-7b-chat-hf/msmarco/memos/attack/seed_0/results_k5_nt50_i150_es40_bs16_init_mask_res_tar_t1_nq100_oracle_llm_gpt-4o-mini.pkl
